item	item_desc	qty	lot_no	location	received_date	exp_date
106958101	CT 4069-2-ABC-YD	29900	B171101-01M-1	 	2017-11-18	2018-05-18
106958101	CT 4069-2-ABC-YD	31200	B171102-02-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10560	F171108-3-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10160	F171108-3-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10110	F171108-4-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10950	F171108-4-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10160	F171108-5-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10710	F171108-5-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10110	F171108-2-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	11210	F171108-2-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	6310	F171108-1-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10180	F171108-1-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	8600	F171101-8-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10330	F171101-8-1	 	2017-11-18	2018-05-18
106958101	CT 4069-2-ABC-YD	31200	B171102-01-1	 	2017-11-18	2018-05-18
106958101	CT 4069-2-ABC-YD	31300	B171102-05-1	 	2017-11-18	2018-05-18
106958101	CT 4069-2-ABC-YD	31100	B171102-04Z-1	 	2017-11-18	2018-05-18
106958101	CT 4069-2-ABC-YD	31400	B171102-07-1	 	2017-11-18	2018-05-18
106958101	CT 4069-2-ABC-YD	31100	B171102-06-1	 	2017-11-18	2018-05-18
106958101	CT 4069-2-ABC-YD	31600	B171103-06-1	 	2017-11-18	2018-05-18
105841001	CT4709-2-H-PD	70000	R171101-04-1	blank	2017-11-18	2018-05-18
105841001	CT4709-2-H-PD	92200	R171101-03M-1	blank	2017-11-18	2018-05-18
105841001	CT4709-2-H-PD	100600	R171102-02-1	blank	2017-11-18	2018-05-18
105841001	CT4709-2-H-PD	130000	R171102-01-1	blank	2017-11-18	2018-05-18
105841001	CT4709-2-H-PD	108000	R171102-03-1	blank	2017-11-18	2018-05-18
107061701	CT 4095-E	9990	F171108-7-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	21490	F171108-6-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	11640	F171108-11-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10220	F171108-12-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	20980	F171108-8-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10900	F171108-7-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10730	F171109-7-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	21130	F171109-8-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10320	F171109-7-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	20570	F171109-6-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10140	F171109-4-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	20800	F171109-5-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10630	F171109-1-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	20010	f171109-2-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10360	F171109-1-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	22700	F171108-15-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10470	F171108-13-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	20900	F171108-14-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10690	F171109-4-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	21060	F171109-3-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10770	F171108-12-1	 	2017-11-18	2018-05-18
107061701	CT 4095-E	10500	F171108-13-1	 	2017-11-18	2018-05-18
102094502	CT 3429-2	49000	H171107-1-0002	blank	2017-11-18	2018-05-18
102094502	CT 3429-2	30400	H171107-1-0001	blank	2017-11-18	2018-05-18
102094502	CT 3429-2	48800	H171107-1-0003	blank	2017-11-18	2018-05-18
102094502	CT 3429-2	48500	H171107-1-0005	blank	2017-11-18	2018-05-18
102094502	CT 3429-2	48900	H171107-1-0004	blank	2017-11-18	2018-05-18
102094502	CT 3429-2	48800	H171107-1-0006	blank	2017-11-18	2018-05-18
102094502	CT 3429-2	40500	H171107-1-0007	blank	2017-11-18	2018-05-18
105192601	CT 4753-B	7300	A171108-01-1-B	blank	2017-11-18	2018-05-18
105192501	CT 4753-A	7000	A171109-01-1-A	blank	2017-11-18	2018-05-18
107019501	CT 3134-5 BF	90000	R171113-03-12	 	2017-11-18	2018-05-18
107019501	CT 3134-5 BF	130000	R171113-02-12	 	2017-11-18	2018-05-18
107019501	CT 3134-5 BF	82700	R171114-02-12	 	2017-11-18	2018-05-18
107019501	CT 3134-5 BF	130000	R171114-01-12	 	2017-11-18	2018-05-18
106116401	CT 5057 NI	105000	E171114-04-1	blank	2017-11-18	2018-05-18
106116401	CT 5057 NI	130000	E171114-03-1	blank	2017-11-18	2018-05-18
106116401	CT 5057 NI	130000	E171114-02-1	blank	2017-11-18	2018-05-18
106116401	CT 5057 NI	130000	E171114-01-1	blank	2017-11-18	2018-05-18
106116401	CT 5057 NI	130000	E171113-05-1	blank	2017-11-18	2018-05-18
106116401	CT 5057 NI	130000	E171113-04-1	blank	2017-11-18	2018-05-18
106116401	CT 5057 NI	70000	E171113-03-1	blank	2017-11-18	2018-05-18
106116401	CT 5057 NI	127700	E171113-02-1	blank	2017-11-18	2018-05-18
103973401	CT 4304-B.D.F PIN	9400	C171110-01-1	blank	2017-11-18	2018-05-18
101613701	CT 3008-3 BF	3000	K171113-01-2	blank	2017-11-18	2018-05-18
101358902	CT 299-3 BF	17300	R171101-01-2	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	50000	G171113-04-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	50000	G171115-02-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	50000	G171115-01-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	43000	G171114-05-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	50000	G171114-04-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	48000	G171114-03-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	49700	G171113-03-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	50000	G171113-02-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	50000	G171113-01-12	blank	2017-11-18	2018-05-18
104525201	CT 2611-A/B-2 NO.12	47800	G171111-02-12	blank	2017-11-18	2018-05-18
021581802	CT 2958-B BF	3000	B171113-01-1-B	blank	2017-11-18	2018-05-18
021581702	CT 2958-A BF	3000	B171113-01-1-A	blank	2017-11-18	2018-05-18
021489802	CT 2354-2 A AU-B	3000	E171110-01-1-A	blank	2017-11-18	2018-05-18
104380701	CONTACT 3590 NI	60000	G171110-02-3	blank	2017-11-18	2018-05-18
104380701	CONTACT 3590 NI	130000	G171110-01-3	blank	2017-11-18	2018-05-18
101282501	CT 2677-1A-F	10400	B171108-01-1	blank	2017-11-18	2018-05-18
021356201	CT 548 A AU-B	448	B140522-01-1-A	S-RN/L6-00783	2017-11-18	2018-05-18
021431901	CT 1754 A AU-B	182	C170809-01-1-A	S-RA/L1-00055	2017-11-18	2018-05-18
021432001	CT 1754 B AU-B	181	C170809-01-1-B	S-RA/L1-00056	2017-11-18	2018-05-18
106715701	CT 5472-1 BF	126900	B170908-02-1 / B1709	blank	2017-11-18	2018-05-18
021486303	CT 494-C AU-B (YEC)	4250	W170703-03-3-C	S-RF/L1-00354	2017-11-18	2018-05-18
021486303	CT 494-C AU-B (YEC)	10140	W170703-04-3-C	S-RF/L1-00354	2017-11-18	2018-05-18
021458101	CT 2072 B AU-B	10000	D171101-01-1-B	S-RD/L4-00210	2017-11-18	2018-05-18
103688201	CT 2175-B-2	10000	N170227-07-1-B	S-RE/L5-00251	2017-11-18	2018-05-18
103688101	CT 2175-A-2	9990	N170227-08-1-A	S-RE/L5-00252	2017-11-18	2018-05-18
103688101	CT 2175-A-2	10	N170227-07-1-A	S-RE/L5-00252	2017-11-18	2018-05-18
021492201	CT 2385 A AU-B	363	B171107-01-1-A	S-RD/L4-00201	2017-11-18	2018-05-18
021453201	CT 635B AU-F	2005	D160614-01-2-B	S-RP/L6-00908	2017-11-18	2018-05-18
021452601	CT 2008 A AU-B	961	D161021-01-1-A	S-RM/L5-00733	2017-11-18	2018-05-18
021453101	CT 635A AU-F	2005	D160614-01-2-A	S-RP/L6-00907	2017-11-18	2018-05-18
021452701	CT 2008 B AU-B	966	D161021-01-1-B	S-RM/L5-00734	2017-11-18	2018-05-18
021452801	CT 2008 C AU-B	941	D161021-01-1-C	S-RM/L5-00735	2017-11-18	2018-05-18
021492301	CT 2385 B AU-B	445	B171107-01-1-B	S-RD/L4-00202	2017-11-18	2018-05-18
021437001	CT 1849 D AU-B	7042	K170803-01-1-D	S-RC/L6-00126	2017-11-18	2018-05-18
101522101	CT 2677-2A-F	-236	B170815-03-1	blank	2017-11-18	2018-05-18
106349301	NP351-292-678#GP-3	25	160513	R35-2/L3-06597	2016-05-18	2018-05-18
102901801	IC357-0804-074#LB	1024	C060509R	R16-2/L3-03359	2016-05-18	2018-05-18
106318402	IC-868-1#IN-B	25	160516	blank	2016-05-18	2018-05-18
103720301	NP506-028#GP	1048	160512	R32-2/L2-06101	2016-05-18	2018-05-18
103552401	NP481-1225-021#LO	18	160516	R16-1/L2-03281	2016-05-18	2018-05-18
104604001	IC564-001#PL	80	160512	R08-2/L1-02219	2016-05-18	2018-05-18
