item	item_desc	qty	lot_no	location	received_date	exp_date
105963902	CT 5058-1-B	1800	K171201-06-1-B	blank	2017-12-09	2018-06-09
105963902	CT 5058-1-B	29700	K171201-05-1-B	blank	2017-12-09	2018-06-09
105963902	CT 5058-1-B	30000	K171201-04-1-B	blank	2017-12-09	2018-06-09
105963902	CT 5058-1-B	29500	K171201-02-1-B	blank	2017-12-09	2018-06-09
105963902	CT 5058-1-B	30000	K171201-03-1-B	blank	2017-12-09	2018-06-09
105963902	CT 5058-1-B	29000	K171201-01-1-B	blank	2017-12-09	2018-06-09
105871301	CT 5185-2-A/B	3000	B171202-01-1	blank	2017-12-09	2018-06-09
104290301	CT 3800-6-AB	3000	H171204-01-2	blank	2017-12-09	2018-06-09
103291801	CT 3858-1-ABC	3000	C170328-01-1	blank	2017-12-09	2018-06-09
102520402	CT 3584-1-H (YEC)	80000	J171201-06-1	blank	2017-12-09	2018-06-09
102520402	CT 3584-1-H (YEC)	80000	J171201-05-1	blank	2017-12-09	2018-06-09
102520402	CT 3584-1-H (YEC)	80000	J171201-08-1	blank	2017-12-09	2018-06-09
102520402	CT 3584-1-H (YEC)	50000	J171201-07-1	blank	2017-12-09	2018-06-09
102520402	CT 3584-1-H (YEC)	28000	J171201-10-1	blank	2017-12-09	2018-06-09
102520402	CT 3584-1-H (YEC)	80000	J171201-09-1	blank	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	25000	C171202-01-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	30000	C171201-23-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171202-03-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171204-01-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171204-04-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171204-05-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171201-18-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171201-19-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	49000	C171201-20-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171201-21-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	29000	C171204-02-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	18000	C171202-02-3	 	2017-12-09	2018-06-09
104883701	CT2800-2-ABC NO.3	50000	C171201-22-3	 	2017-12-09	2018-06-09
103619002	CT 3916-T-2-A	260	D170916-01-1-A	blank	2017-12-09	2018-06-09
103619002	CT 3916-T-2-A	2130	D170915-01-1-A	blank	2017-12-09	2018-06-09
021396302	CT 1112-S B AU-B	3947	L170913-01-2-B	S-RA/L3-00034	2017-12-09	2018-06-09
101206501	CT 2175-F-C (TSUNEKI)	9930	N17116-02Z-1-C	S-RC/L3-00160	2017-12-09	2018-06-09
101206501	CT 2175-F-C (TSUNEKI)	10090	N171116-03-1-C	S-RC/L3-00160	2017-12-09	2018-06-09
101206501	CT 2175-F-C (TSUNEKI)	9990	N171116-01-1-C	S-RC/L3-00160	2017-12-09	2018-06-09
101206501	CT 2175-F-C (TSUNEKI)	10030	N171116-04-1-C	S-RC/L3-00160	2017-12-09	2018-06-09
101206501	CT 2175-F-C (TSUNEKI)	9960	N171116-05-1-C	S-RC/L3-00160	2017-12-09	2018-06-09
021486303	CT 494-C AU-B (YEC)	5250	W17113-02-3	S-RF/L1-00354	2017-12-09	2018-06-09
104697601	NP566-729-001#IN-A	265	B160524	R21-1/L2-04179	2016-06-09	2018-06-09
103772501	NP506-032#LT	25	160606	R09-1/L5-02253	2016-06-09	2018-06-09
101988801	SOP21T040-003#IN	30	B060603R	R22-2/L1-04476	2016-06-09	2018-06-09
104698001	NP566-001#CV	9	A150619	R24-1/L3-04688	2016-06-09	2018-06-09
104698001	NP566-001#CV	236	B151116	R24-1/L3-04688	2016-06-09	2018-06-09
101861501	NP486-676-001#LV	500	160607	R02-2/L4-00475	2016-06-09	2018-06-09
106444501	IC542-035#PL	2	1667	blank	2016-06-09	2018-06-09
103975001	IC549-1084-001#SD	70	C060602R	R33-2/L2-06282	2016-06-09	2018-06-09
103975001	IC549-1084-001#SD	465	C060603R	R33-2/L2-06282	2016-06-09	2018-06-09
104130801	NP556-0576-001#SP-A	803	A160419	blank	2016-06-09	2018-06-09
104130801	NP556-0576-001#SP-A	6920	A160526	blank	2016-06-09	2018-06-09
104130801	NP556-0576-001#SP-A	17709	A160527	blank	2016-06-09	2018-06-09
106096901	NP469-3677-017#IN-B	176	C160601R	R21-1/L2-04192	2016-06-09	2018-06-09
106200301	PS44-44-5011#IN	168	160604	R44-2/L1-08398	2016-06-09	2018-06-09
105632401	IC234-1004-408#IN-A	2776	A060606R	R40-2/L1-07560	2016-06-09	2018-06-09
100807301	QFP11T080-008#IN	30	B160601R	R33-1/L3-06150	2016-06-09	2018-06-09
105632603	IC234-1004-408#LB	965	E060602R	R18-1/L3-03605	2016-06-09	2018-06-09
103974903	IC549-1084-001#IN	82	D060602R	R41-2/L2-07704	2016-06-09	2018-06-09
103401801	NP486-419-033#GP	103	B160602	R32-2/L2-06094	2016-06-09	2018-06-09
104697801	NP566-729-001#MO	254	A160520	R22-1/L1-04381	2016-06-09	2018-06-09
104272001	NP494-096-020#IN-A NO.2	2028	E060607R	R22-2/L3-04423	2016-06-09	2018-06-09
106368601	NP596-001#GP	766	160607	R41-2/L2-07718	2016-06-09	2018-06-09
103742301	NP506-030#GP	964	160607	R13-2/L2-02846	2016-06-09	2018-06-09
